Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha,Total_Water_Input_mm,Plant_Height_per_DAP,Canopy_Greenness_Volume,Biotic_Stress_Index,Planting_Month,Growth_Stage_Ordinal,Pest_Severity_Ordinal,Disease_Severity_Ordinal,District_Badulla,District_Galle,District_Kandy,District_Kegalle,District_Kurunegala,District_Matale,District_Matara,District_Monaragala,District_Nuwara Eliya,District_Ratnapura,Seed_Variety_Chinese,Seed_Variety_Local,Seed_Variety_Nadun,Soil_Type_Clay Loam,Soil_Type_Loam,Soil_Type_Sandy Loam
F0808,Nuwara Eliya,2025-12-25,210,Rhizome Initiation,2.61,Local,Sandy Loam,6.4,49.4,111.6,28.5,88.0,19.3,43.0,92.5,Medium,Low,119.8,73.5,17.15,17.12,154.6,0.5705,8805.3,1,12,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
F0466,Badulla,2025-01-11,298,Maturity,3.78,Local,Sandy Loam,5.8,32.5,47.0,20.8,69.4,21.6,42.7,72.2,Medium,High,162.1,56.1,16.15,16.84,89.7,0.544,9093.81,3,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
F0332,Ratnapura,2025-07-10,238,Rhizome Development,1.42,Chinese,Loam,5.8,37.5,86.1,25.1,57.2,17.2,4.2,113.0,Medium,Low,144.8,61.3,18.16,18.56,90.3,0.6084,8876.24,1,7,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0594,Monaragala,2025-05-26,161,Rhizome Initiation,3.9,Chinese,Loam,6.2,23.4,27.6,27.9,59.5,18.0,33.9,114.4,Low,High,94.0,53.4,12.87,12.42,61.5,0.5839,5019.6,2,5,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
F0179,Matara,2025-11-14,69,Early Vegetative,1.57,Local,Sandy Loam,6.1,18.0,5.2,22.2,64.8,14.7,8.4,51.5,Low,Low,51.0,52.0,10.93,10.88,13.6,0.7391,2652.0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
F0541,Kegalle,2025-04-06,16,Sprouting,2.75,Chinese,Clay Loam,5.4,41.7,73.7,28.6,85.6,19.7,3.4,40.6,Low,High,21.5,63.2,8.9,8.71,77.1,1.3438,1358.8,2,4,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
F0536,Matale,2025-02-05,230,Rhizome Development,4.39,Local,Clay Loam,6.7,34.3,58.5,33.1,67.8,21.2,15.7,26.1,Low,Medium,144.6,61.8,13.8,13.03,74.2,0.6287,8936.28,1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
F0133,Badulla,2025-08-04,15,Sprouting,2.3,Nadun,Sandy Loam,5.7,45.6,92.4,30.7,65.9,24.9,44.8,62.0,Low,Low,33.5,64.3,10.67,11.28,137.2,2.2333,2154.05,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0952,Galle,2025-04-11,286,Maturity,3.95,Nadun,Clay Loam,6.2,42.7,89.7,23.9,90.0,13.1,39.8,117.1,Low,Low,148.2,66.5,19.72,20.5,129.5,0.5182,9855.3,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F0682,Galle,2025-01-04,296,Maturity,1.62,Local,Sandy Loam,5.4,43.5,80.3,30.4,76.4,13.7,43.7,49.9,Medium,Low,165.0,68.5,17.48,16.98,124.0,0.5574,11302.5,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
F0872,Kegalle,2025-04-05,56,Early Vegetative,1.13,Chinese,Loam,5.5,23.0,12.8,28.3,63.8,20.6,1.7,67.8,Medium,Low,33.7,49.5,9.19,9.13,14.5,0.6018,1668.15,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
F0764,Matale,2025-02-04,293,Maturity,2.14,Local,Loam,5.8,29.8,24.9,22.4,58.7,12.3,46.9,98.6,Medium,Low,171.2,53.1,17.25,16.84,71.8,0.5843,9090.72,1,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
F0331,Matale,2025-08-16,235,Rhizome Development,0.59,Nadun,Loam,5.4,33.9,71.9,24.4,77.0,25.0,19.5,84.1,High,Low,139.7,64.9,15.92,16.43,91.4,0.5945,9066.53,2,8,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
F0584,Ratnapura,2025-07-15,86,Early Vegetative,4.71,Local,Clay Loam,6.6,40.4,75.8,22.9,55.9,12.1,41.3,76.2,Low,Low,56.5,62.1,14.03,13.73,117.1,0.657,3508.65,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
F0955,Ratnapura,2025-08-26,285,Maturity,4.26,Local,Clay Loam,6.2,40.7,79.0,23.5,72.6,24.0,32.5,37.3,High,Low,164.2,62.0,15.73,15.61,111.5,0.5761,10180.4,2,8,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
F0420,Badulla,2025-01-02,157,Rhizome Initiation,3.7,Chinese,Sandy Loam,5.5,49.8,112.7,23.7,89.6,18.6,27.7,92.2,Medium,Medium,88.2,70.1,14.83,15.05,140.4,0.5618,6182.82,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
F0318,Kegalle,2025-12-07,75,Early Vegetative,4.93,Local,Sandy Loam,6.2,53.5,118.8,24.0,91.3,17.5,3.6,37.6,Low,High,48.9,75.1,11.26,10.7,122.4,0.652,3672.39,2,12,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
F0382,Kandy,2025-06-03,228,Rhizome Development,3.72,Chinese,Sandy Loam,5.7,25.4,6.8,27.1,87.5,23.2,43.5,31.0,Low,Low,123.0,57.6,14.57,15.2,50.3,0.5395,7084.8,0,6,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
F0077,Galle,2025-02-14,188,Rhizome Initiation,1.52,Local,Sandy Loam,5.2,43.5,112.7,20.1,92.3,14.5,0.7,51.0,Low,Medium,106.7,69.1,15.73,15.44,113.4,0.5676,7372.97,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
F0222,Galle,2025-01-31,240,Rhizome Development,1.78,Nadun,Clay Loam,6.6,38.2,60.2,28.8,73.4,24.9,11.2,78.7,Low,Medium,142.2,63.9,16.93,16.85,71.4,0.5925,9086.58,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F0390,Matale,2025-10-24,101,Vegetative,0.6,Local,Loam,6.1,45.7,84.7,22.3,81.5,15.6,38.6,65.4,Low,High,79.5,67.8,11.54,11.15,123.3,0.7871,5390.1,2,10,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
F0186,Badulla,2025-06-05,275,Maturity,4.68,Local,Loam,5.3,29.6,21.5,33.1,88.9,13.7,41.7,53.2,Medium,Low,150.8,56.3,16.37,16.59,63.2,0.5484,8490.04,1,6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
F0199,Galle,2025-10-31,204,Rhizome Initiation,4.83,Nadun,Loam,6.1,16.9,4.1,20.7,91.7,24.6,29.0,82.3,Low,Low,116.0,45.9,15.23,15.62,33.1,0.5686,5324.4,0,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
F0316,Badulla,2025-08-08,87,Early Vegetative,4.75,Chinese,Loam,5.6,30.3,43.3,24.5,67.4,23.5,23.8,86.6,Low,Low,55.4,61.2,13.18,13.92,67.1,0.6368,3390.48,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0644,Kandy,2025-05-31,130,Vegetative,2.26,Local,Sandy Loam,5.2,28.0,44.9,31.5,66.3,16.8,27.2,62.5,Medium,Medium,91.7,55.2,11.73,11.38,72.1,0.7054,5061.84,2,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
F0528,Badulla,2025-11-11,163,Rhizome Initiation,1.24,Chinese,Loam,5.3,22.8,19.0,26.2,63.5,19.6,24.8,89.0,Low,Low,92.8,56.8,14.72,14.26,43.8,0.5693,5271.04,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
F0497,Ratnapura,2025-04-12,171,Rhizome Initiation,4.89,Local,Sandy Loam,5.5,27.0,43.4,24.3,82.0,21.5,42.4,30.7,Medium,Medium,95.1,51.2,12.72,12.57,85.8,0.5561,4869.12,2,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
F0063,Galle,2025-06-16,130,Vegetative,0.91,Nadun,Sandy Loam,5.2,38.9,93.9,23.0,86.6,13.5,36.8,70.0,Low,Medium,82.5,64.6,13.46,14.18,130.7,0.6346,5329.5,1,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0787,Nuwara Eliya,2025-08-02,225,Rhizome Development,2.52,Nadun,Clay Loam,6.0,36.5,61.5,30.4,57.7,15.3,22.6,114.2,Low,Low,133.4,59.1,17.46,16.96,84.1,0.5929,7883.94,0,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
F0756,Matara,2025-11-09,299,Maturity,1.99,Local,Loam,6.2,24.3,1.0,22.9,66.4,14.5,33.3,115.8,Low,Low,157.3,54.1,18.51,17.9,34.3,0.5261,8509.93,0,11,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
F0858,Nuwara Eliya,2025-10-04,272,Maturity,0.87,Chinese,Clay Loam,6.8,27.6,20.2,20.8,61.9,19.8,46.7,88.8,Low,Medium,145.2,53.5,15.39,15.47,66.9,0.5338,7768.2,1,10,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
F0209,Kandy,2025-07-05,69,Early Vegetative,0.83,Nadun,Sandy Loam,5.7,29.3,20.0,25.1,93.8,16.9,9.9,117.7,High,Low,60.8,58.9,10.11,10.72,29.9,0.8812,3581.12,2,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
F0105,Kurunegala,2025-11-25,98,Vegetative,0.88,Nadun,Clay Loam,5.3,43.1,99.5,33.7,94.8,13.4,48.0,57.2,Low,Low,55.4,65.2,13.73,13.36,147.5,0.5653,3612.08,0,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
F0759,Nuwara Eliya,2025-04-27,102,Vegetative,3.02,Local,Loam,6.7,29.4,21.9,22.5,84.6,19.5,40.7,39.5,Low,Medium,58.2,61.2,10.96,11.74,62.6,0.5706,3561.84,1,4,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
F0725,Ratnapura,2025-05-31,85,Early Vegetative,0.71,Nadun,Clay Loam,6.1,41.3,103.5,29.1,67.9,13.0,15.4,85.8,Low,High,62.1,67.6,12.11,12.46,118.9,0.7306,4197.96,2,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
F0536,Ratnapura,2025-09-19,54,Early Vegetative,2.23,Chinese,Loam,5.4,23.6,6.7,30.9,62.0,17.6,26.8,54.9,Low,Medium,35.4,53.7,9.61,10.31,33.5,0.6556,1900.98,1,9,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0737,Ratnapura,2025-07-19,68,Early Vegetative,1.01,Chinese,Loam,6.0,28.5,53.9,31.5,71.5,18.3,7.1,91.5,Low,Low,40.9,55.9,13.25,13.33,61.0,0.6015,2286.31,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0956,Monaragala,2025-11-11,129,Vegetative,2.74,Nadun,Sandy Loam,5.9,22.7,14.4,22.5,93.8,24.3,47.1,110.8,Low,Low,89.6,56.6,14.03,14.11,61.5,0.6946,5071.36,0,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
F0400,Galle,2025-05-19,142,Vegetative,0.82,Chinese,Clay Loam,6.7,28.5,49.9,25.1,76.9,22.5,11.7,113.4,Low,Low,78.7,53.6,13.24,13.74,61.6,0.5542,4218.32,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0248,Kandy,2025-05-15,116,Vegetative,1.73,Local,Clay Loam,5.8,29.9,24.4,24.3,68.6,20.1,45.2,88.7,Low,Low,75.5,59.4,12.68,12.52,69.6,0.6509,4484.7,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
F0297,Kandy,2025-08-30,45,Early Vegetative,4.43,Chinese,Clay Loam,5.5,41.2,98.9,24.5,71.6,18.9,10.1,24.2,Medium,High,34.9,67.7,9.36,8.89,109.0,0.7756,2362.73,3,8,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
F0686,Matara,2025-12-31,212,Rhizome Development,4.51,Chinese,Clay Loam,6.5,49.1,109.8,33.3,59.6,12.9,30.5,103.0,Low,Low,118.3,73.2,19.02,18.69,140.3,0.558,8659.56,0,12,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
F0685,Badulla,2025-12-03,138,Vegetative,4.6,Nadun,Sandy Loam,6.4,44.2,105.9,30.2,92.7,21.2,13.0,111.0,Low,Medium,93.6,71.1,15.48,15.1,118.9,0.6783,6654.96,1,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0208,Kegalle,2025-09-24,95,Vegetative,2.48,Chinese,Loam,5.4,31.3,29.5,28.0,55.9,19.2,40.2,50.6,Medium,Low,77.1,61.7,11.25,11.23,69.7,0.8116,4757.07,1,9,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
F0990,Kegalle,2025-07-15,200,Rhizome Initiation,3.64,Chinese,Clay Loam,5.7,49.0,100.7,26.2,71.8,19.3,23.9,78.4,Medium,High,121.2,73.0,14.7,14.65,124.6,0.606,8847.6,3,7,3,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
F0468,Matale,2025-07-17,220,Rhizome Development,4.24,Chinese,Loam,6.3,51.8,118.5,26.2,79.0,12.5,19.9,105.9,Low,Low,132.1,68.1,18.87,19.64,138.4,0.6005,8996.01,0,7,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
F0126,Matale,2025-05-02,122,Vegetative,2.53,Chinese,Loam,6.4,46.9,106.0,26.7,61.4,20.7,34.9,91.4,Low,Medium,70.3,67.5,15.12,15.32,140.9,0.5762,4745.25,1,5,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
F0323,Kurunegala,2025-06-11,224,Rhizome Development,4.22,Nadun,Sandy Loam,5.4,26.7,28.4,31.6,75.4,20.6,11.8,51.3,Medium,Low,139.9,56.8,15.64,16.22,40.2,0.6246,7946.32,1,6,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
F0542,Nuwara Eliya,2025-05-23,171,Rhizome Initiation,0.86,Chinese,Loam,6.1,37.0,61.4,32.4,91.7,21.2,31.1,67.5,Low,Low,113.0,65.4,15.79,15.97,92.5,0.6608,7390.2,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
F0098,Ratnapura,2025-03-23,262,Maturity,3.3,Local,Sandy Loam,5.3,35.2,46.8,30.0,92.0,16.7,36.4,63.9,Low,Medium,139.2,61.1,17.12,17.35,83.2,0.5313,8505.12,1,3,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
F0423,Kurunegala,2025-07-12,145,Vegetative,2.5,Nadun,Clay Loam,6.5,24.7,10.1,21.5,61.3,17.8,9.8,67.1,High,Medium,94.4,56.6,9.92,9.46,19.9,0.651,5343.04,3,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
F0011,Monaragala,2025-06-20,192,Rhizome Initiation,2.55,Chinese,Loam,5.6,40.0,99.5,33.8,94.5,14.3,42.2,92.9,Low,Low,125.4,68.6,18.09,18.28,141.7,0.6531,8602.44,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
F0332,Kurunegala,2025-10-19,281,Maturity,0.78,Nadun,Loam,5.9,44.3,108.8,24.7,68.0,16.0,10.3,76.1,Low,Low,165.0,71.2,19.96,19.45,119.1,0.5872,11748.0,0,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
F0434,Nuwara Eliya,2025-01-08,2,Sprouting,1.21,Chinese,Clay Loam,5.2,22.0,19.2,27.6,92.5,24.6,48.5,60.7,Medium,Medium,13.9,49.3,6.81,7.39,67.7,6.95,685.27,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
F0644,Badulla,2025-10-10,93,Vegetative,0.68,Local,Loam,5.1,28.6,41.6,21.2,72.6,17.0,38.1,25.5,High,Medium,66.6,61.4,8.75,7.95,79.7,0.7161,4089.24,3,10,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
F0747,Ratnapura,2025-01-29,139,Vegetative,4.05,Chinese,Loam,5.8,40.6,74.9,20.7,74.3,24.4,0.9,67.6,Medium,Low,95.2,63.6,13.7,14.05,75.8,0.6849,6054.72,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
F0926,Matale,2025-05-11,159,Rhizome Initiation,1.42,Chinese,Loam,5.2,33.6,63.9,26.9,69.7,20.9,7.4,86.3,Low,Low,102.3,58.3,15.24,15.35,71.3,0.6434,5964.09,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
F0784,Nuwara Eliya,2025-12-14,260,Rhizome Development,1.9,Nadun,Clay Loam,5.7,38.1,53.0,26.8,93.0,19.5,31.8,111.6,Low,High,143.0,65.8,15.9,15.71,84.8,0.55,9409.4,2,12,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
F0565,Matale,2025-03-02,274,Maturity,1.37,Chinese,Clay Loam,5.7,50.2,116.6,27.4,89.4,24.1,45.7,98.0,Low,Medium,163.3,65.5,19.38,20.16,162.3,0.596,10696.15,1,3,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
F0473,Galle,2025-08-20,127,Vegetative,2.91,Chinese,Clay Loam,5.2,26.3,23.6,31.3,70.7,18.8,39.3,105.6,Medium,Low,77.7,54.2,12.36,11.64,62.9,0.6118,4211.34,1,8,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0671,Matale,2025-09-06,93,Vegetative,3.59,Local,Sandy Loam,5.7,46.1,90.5,29.4,56.2,21.4,43.2,42.4,Medium,Low,54.7,66.2,11.39,11.54,133.7,0.5882,3621.14,1,9,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
F0767,Kandy,2025-04-16,268,Maturity,2.4,Nadun,Clay Loam,5.6,26.7,43.0,21.8,91.7,22.1,14.4,44.4,Low,Low,160.2,54.0,18.25,18.19,57.4,0.5978,8650.8,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
F0162,Monaragala,2025-03-02,160,Rhizome Initiation,1.14,Chinese,Sandy Loam,5.2,41.0,103.3,29.8,88.5,21.7,40.9,117.3,Medium,Low,94.9,60.6,14.94,15.01,144.2,0.5931,5750.94,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
F0162,Badulla,2025-01-17,198,Rhizome Initiation,2.17,Nadun,Sandy Loam,6.4,37.2,63.0,24.7,60.6,21.2,37.1,98.1,Low,Low,122.2,60.9,17.12,17.55,100.1,0.6172,7441.98,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0381,Kurunegala,2025-08-22,134,Vegetative,1.03,Chinese,Loam,6.2,28.5,47.4,30.6,88.4,19.6,23.9,104.3,Medium,Low,83.2,61.7,14.28,15.05,71.3,0.6209,5133.44,1,8,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
F0593,Matara,2025-09-02,179,Rhizome Initiation,2.76,Nadun,Clay Loam,6.2,47.9,95.1,20.8,70.0,24.4,36.1,56.7,Low,Low,116.8,66.0,16.54,17.34,131.2,0.6525,7708.8,0,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
F0771,Matale,2025-01-18,74,Early Vegetative,2.43,Chinese,Loam,5.8,37.2,52.2,22.7,57.8,24.4,44.5,91.3,Low,Medium,43.3,58.4,11.14,10.39,96.7,0.5851,2528.72,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
F0885,Galle,2025-05-31,12,Sprouting,2.71,Nadun,Loam,6.7,31.4,37.5,26.0,79.4,15.9,32.9,48.6,Medium,Medium,27.1,55.8,7.9,8.67,70.4,2.2583,1512.18,2,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
F0518,Ratnapura,2025-01-02,225,Rhizome Development,2.93,Local,Clay Loam,5.0,36.7,56.4,33.5,87.9,24.7,36.9,72.6,High,Low,117.6,66.5,14.05,13.65,93.3,0.5227,7820.4,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
F0530,Badulla,2025-04-28,170,Rhizome Initiation,4.91,Chinese,Clay Loam,5.6,45.2,104.2,28.5,69.4,17.6,40.0,23.1,High,Low,99.9,64.7,14.5,13.99,144.2,0.5876,6463.53,2,4,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F0842,Ratnapura,2025-05-22,35,Early Vegetative,3.15,Local,Loam,5.8,36.6,82.3,22.3,72.0,24.9,26.9,97.5,Low,Medium,46.2,58.2,11.65,11.3,109.2,1.32,2688.84,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
F0982,Nuwara Eliya,2025-07-29,79,Early Vegetative,3.14,Chinese,Sandy Loam,5.3,43.6,100.6,26.1,83.8,21.5,7.8,43.2,Low,Medium,51.1,66.2,11.71,11.43,108.4,0.6468,3382.82,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
F0743,Ratnapura,2025-08-11,20,Sprouting,3.85,Chinese,Clay Loam,6.0,47.8,100.3,27.0,67.2,15.4,1.6,33.6,Medium,Low,19.8,72.7,10.78,10.03,101.9,0.99,1439.46,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
F0533,Nuwara Eliya,2025-12-18,111,Vegetative,1.84,Chinese,Sandy Loam,5.2,39.0,70.0,23.1,57.5,17.3,16.5,116.8,Low,Medium,63.4,64.8,12.12,12.05,86.5,0.5712,4108.32,1,12,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
F0204,Kegalle,2025-04-25,73,Early Vegetative,3.12,Nadun,Clay Loam,5.8,40.6,93.6,24.4,58.5,17.7,16.4,30.5,Medium,Low,64.2,67.6,10.82,11.1,110.0,0.8795,4339.92,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
F0372,Kurunegala,2025-12-28,52,Early Vegetative,1.93,Nadun,Sandy Loam,6.4,25.5,25.7,23.3,91.0,12.4,41.8,99.3,Medium,Low,48.3,52.3,10.23,9.84,67.5,0.9288,2526.09,1,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
F0525,Monaragala,2025-04-04,10,Sprouting,4.98,Nadun,Clay Loam,5.7,31.5,38.6,34.0,57.4,12.5,35.3,98.4,Medium,Low,16.6,56.3,10.35,10.4,73.9,1.66,934.58,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F0138,Kurunegala,2025-08-19,152,Rhizome Initiation,3.6,Local,Clay Loam,5.6,48.0,116.7,31.7,64.6,16.4,2.8,56.8,Low,Low,86.3,72.2,16.37,15.81,119.5,0.5678,6230.86,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
F0894,Ratnapura,2025-03-01,23,Sprouting,2.41,Nadun,Clay Loam,5.6,46.9,110.4,32.4,77.2,23.5,43.1,65.4,Low,Low,19.1,66.8,12.63,11.99,153.5,0.8304,1275.88,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
F0831,Matara,2025-12-21,238,Rhizome Development,0.5,Local,Sandy Loam,5.1,32.1,43.7,23.7,55.5,19.9,31.0,63.7,Low,Low,142.4,60.3,17.1,17.72,74.7,0.5983,8586.72,0,12,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
F0096,Nuwara Eliya,2025-05-31,133,Vegetative,2.7,Local,Loam,6.7,47.8,112.8,24.5,78.1,18.9,36.9,25.9,Low,Medium,91.4,72.9,11.96,11.44,149.7,0.6872,6663.06,1,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
F0278,Kurunegala,2025-05-13,15,Sprouting,4.98,Chinese,Clay Loam,6.1,27.0,10.1,27.4,89.5,21.6,14.0,41.5,Medium,Low,24.0,58.6,8.02,8.47,24.1,1.6,1406.4,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
F0497,Kandy,2025-05-20,169,Rhizome Initiation,3.66,Nadun,Loam,5.7,33.5,45.8,23.6,66.4,20.5,30.0,114.4,Low,Low,89.9,64.1,15.05,15.51,75.8,0.532,5762.59,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
F0503,Galle,2025-08-27,176,Rhizome Initiation,4.51,Local,Clay Loam,5.4,50.0,108.6,29.6,79.7,19.4,14.0,113.8,Low,Low,100.9,71.9,17.1,17.57,122.6,0.5733,7254.71,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
F0287,Kurunegala,2025-10-21,297,Maturity,1.94,Local,Loam,5.8,44.6,83.4,29.3,88.7,24.8,43.8,82.3,Low,Medium,166.0,63.6,18.94,18.74,127.2,0.5589,10557.6,1,10,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
F0854,Galle,2025-03-18,36,Early Vegetative,3.81,Nadun,Sandy Loam,6.5,31.5,49.5,32.7,79.1,24.8,46.5,28.1,Low,Medium,24.8,61.5,10.3,10.5,96.0,0.6889,1525.2,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F0993,Kurunegala,2025-02-14,235,Rhizome Development,4.31,Chinese,Sandy Loam,6.6,50.2,105.2,31.8,72.2,15.0,5.6,38.7,Low,Low,126.9,74.5,17.94,18.02,110.8,0.54,9454.05,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
F0361,Monaragala,2025-08-17,133,Vegetative,0.66,Chinese,Clay Loam,5.9,39.5,64.7,27.0,68.7,20.6,3.4,100.6,Low,Low,88.2,65.5,15.1,15.36,68.1,0.6632,5777.1,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
F0726,Kurunegala,2025-04-15,22,Sprouting,4.84,Nadun,Loam,6.4,45.1,101.0,21.7,86.7,12.6,47.2,84.4,Low,Low,31.9,63.8,11.16,11.34,148.2,1.45,2035.22,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
