Farm_ID,District,Planting_Date,Days_After_Planting,Growth_Stage,Land_Size_Acres,Seed_Variety,Soil_Type,Soil_pH,Soil_Moisture_pct,Weekly_Rainfall_mm,Avg_Temperature_C,Relative_Humidity_pct,Solar_Radiation_MJ_m2_day,Irrigation_mm_week,Fertilizer_kg_acre,Pest_Severity,Disease_Severity,Plant_Height_cm,Leaf_Greenness_Index,Predicted_Final_Yield_t_ha,Actual_Final_Yield_t_ha
F0671,Matale,2025-09-06,93,Vegetative,3.59,Local,Sandy Loam,5.7,46.1,90.5,29.4,56.2,21.4,43.2,42.4,Medium,Low,54.7,66.2,11.39,11.54
F0767,Kandy,2025-04-16,268,Maturity,2.4,Nadun,Clay Loam,5.6,26.7,43.0,21.8,91.7,22.1,14.4,44.4,Low,Low,160.2,54.0,18.25,18.19
F0162,Monaragala,2025-03-02,160,Rhizome Initiation,1.14,Chinese,Sandy Loam,5.2,41.0,103.3,29.8,88.5,21.7,40.9,117.3,Medium,Low,94.9,60.6,14.94,15.01
F0162,Badulla,2025-01-17,198,Rhizome Initiation,2.17,Nadun,Sandy Loam,6.4,37.2,63.0,24.7,60.6,21.2,37.1,98.1,Low,Low,122.2,60.9,17.12,17.55
F0381,Kurunegala,2025-08-22,134,Vegetative,1.03,Chinese,Loam,6.2,28.5,47.4,30.6,88.4,19.6,23.9,104.3,Medium,Low,83.2,61.7,14.28,15.05
F0593,Matara,2025-09-02,179,Rhizome Initiation,2.76,Nadun,Clay Loam,6.2,47.9,95.1,20.8,70.0,24.4,36.1,56.7,Low,Low,116.8,66.0,16.54,17.34
F0771,Matale,2025-01-18,74,Early Vegetative,2.43,Chinese,Loam,5.8,37.2,52.2,22.7,57.8,24.4,44.5,91.3,Low,Medium,43.3,58.4,11.14,10.39
F0885,Galle,2025-05-31,12,Sprouting,2.71,Nadun,Loam,6.7,31.4,37.5,26.0,79.4,15.9,32.9,48.6,Medium,Medium,27.1,55.8,7.9,8.67
F0518,Ratnapura,2025-01-02,225,Rhizome Development,2.93,Local,Clay Loam,5.0,36.7,56.4,33.5,87.9,24.7,36.9,72.6,High,Low,117.6,66.5,14.05,13.65
F0530,Badulla,2025-04-28,170,Rhizome Initiation,4.91,Chinese,Clay Loam,5.6,45.2,104.2,28.5,69.4,17.6,40.0,23.1,High,Low,99.9,64.7,14.5,13.99
F0842,Ratnapura,2025-05-22,35,Early Vegetative,3.15,Local,Loam,5.8,36.6,82.3,22.3,72.0,24.9,26.9,97.5,Low,Medium,46.2,58.2,11.65,11.3
F0982,Nuwara Eliya,2025-07-29,79,Early Vegetative,3.14,Chinese,Sandy Loam,5.3,43.6,100.6,26.1,83.8,21.5,7.8,43.2,Low,Medium,51.1,66.2,11.71,11.43
F0743,Ratnapura,2025-08-11,20,Sprouting,3.85,Chinese,Clay Loam,6.0,47.8,100.3,27.0,67.2,15.4,1.6,33.6,Medium,Low,19.8,72.7,10.78,10.03
F0533,Nuwara Eliya,2025-12-18,111,Vegetative,1.84,Chinese,Sandy Loam,5.2,39.0,70.0,23.1,57.5,17.3,16.5,116.8,Low,Medium,63.4,64.8,12.12,12.05
F0204,Kegalle,2025-04-25,73,Early Vegetative,3.12,Nadun,Clay Loam,5.8,40.6,93.6,24.4,58.5,17.7,16.4,30.5,Medium,Low,64.2,67.6,10.82,11.1
F0372,Kurunegala,2025-12-28,52,Early Vegetative,1.93,Nadun,Sandy Loam,6.4,25.5,25.7,23.3,91.0,12.4,41.8,99.3,Medium,Low,48.3,52.3,10.23,9.84
F0525,Monaragala,2025-04-04,10,Sprouting,4.98,Nadun,Clay Loam,5.7,31.5,38.6,34.0,57.4,12.5,35.3,98.4,Medium,Low,16.6,56.3,10.35,10.4
F0138,Kurunegala,2025-08-19,152,Rhizome Initiation,3.6,Local,Clay Loam,5.6,48.0,116.7,31.7,64.6,16.4,2.8,56.8,Low,Low,86.3,72.2,16.37,15.81
F0894,Ratnapura,2025-03-01,23,Sprouting,2.41,Nadun,Clay Loam,5.6,46.9,110.4,32.4,77.2,23.5,43.1,65.4,Low,Low,19.1,66.8,12.63,11.99
F0831,Matara,2025-12-21,238,Rhizome Development,0.5,Local,Sandy Loam,5.1,32.1,43.7,23.7,55.5,19.9,31.0,63.7,Low,Low,142.4,60.3,17.1,17.72
F0096,Nuwara Eliya,2025-05-31,133,Vegetative,2.7,Local,Loam,6.7,47.8,112.8,24.5,78.1,18.9,36.9,25.9,Low,Medium,91.4,72.9,11.96,11.44
F0278,Kurunegala,2025-05-13,15,Sprouting,4.98,Chinese,Clay Loam,6.1,27.0,10.1,27.4,89.5,21.6,14.0,41.5,Medium,Low,24.0,58.6,8.02,8.47
F0497,Kandy,2025-05-20,169,Rhizome Initiation,3.66,Nadun,Loam,5.7,33.5,45.8,23.6,66.4,20.5,30.0,114.4,Low,Low,89.9,64.1,15.05,15.51
F0503,Galle,2025-08-27,176,Rhizome Initiation,4.51,Local,Clay Loam,5.4,50.0,108.6,29.6,79.7,19.4,14.0,113.8,Low,Low,100.9,71.9,17.1,17.57
F0287,Kurunegala,2025-10-21,297,Maturity,1.94,Local,Loam,5.8,44.6,83.4,29.3,88.7,24.8,43.8,82.3,Low,Medium,166.0,63.6,18.94,18.74
F0854,Galle,2025-03-18,36,Early Vegetative,3.81,Nadun,Sandy Loam,6.5,31.5,49.5,32.7,79.1,24.8,46.5,28.1,Low,Medium,24.8,61.5,10.3,10.5
F0993,Kurunegala,2025-02-14,235,Rhizome Development,4.31,Chinese,Sandy Loam,6.6,50.2,105.2,31.8,72.2,15.0,5.6,38.7,Low,Low,126.9,74.5,17.94,18.02
F0361,Monaragala,2025-08-17,133,Vegetative,0.66,Chinese,Clay Loam,5.9,39.5,64.7,27.0,68.7,20.6,3.4,100.6,Low,Low,88.2,65.5,15.1,15.36
F0726,Kurunegala,2025-04-15,22,Sprouting,4.84,Nadun,Loam,6.4,45.1,101.0,21.7,86.7,12.6,47.2,84.4,Low,Low,31.9,63.8,11.16,11.34
F0811,Kegalle,2025-12-20,270,Maturity,4.38,Nadun,Clay Loam,5.8,24.2,4.0,25.0,89.0,14.7,30.9,95.5,Low,Medium,152.2,59.2,16.59,16.05
F0095,Matale,2025-06-21,289,Maturity,0.8,Local,Loam,5.5,35.6,51.2,24.4,94.0,23.7,31.9,119.0,Low,Medium,157.2,66.2,18.48,17.75
F0822,Nuwara Eliya,2025-12-27,76,Early Vegetative,2.19,Local,Sandy Loam,5.1,25.2,36.7,25.7,85.2,22.4,4.0,75.0,Low,Low,67.6,57.3,10.77,11.1
F0266,Monaragala,2025-07-10,217,Rhizome Development,1.0,Chinese,Sandy Loam,6.8,29.3,23.6,30.7,71.9,17.4,38.1,93.8,Low,Low,117.1,52.8,16.04,15.51
F0337,Nuwara Eliya,2025-04-11,279,Maturity,2.61,Chinese,Clay Loam,6.3,31.2,30.5,22.9,70.6,20.5,24.6,85.4,Medium,Low,152.6,56.6,16.51,17.05
F0702,Ratnapura,2025-07-08,101,Vegetative,3.29,Chinese,Clay Loam,5.4,27.6,43.1,23.1,59.0,24.6,10.2,114.2,Medium,Medium,62.1,54.6,12.24,12.13
F0413,Badulla,2025-07-24,74,Early Vegetative,4.12,Chinese,Sandy Loam,6.3,42.8,97.9,22.0,63.9,16.3,17.0,38.3,Low,Low,46.1,68.9,12.08,11.53
F0474,Matara,2025-06-25,123,Vegetative,2.58,Nadun,Loam,5.7,38.8,64.1,27.5,82.8,19.8,5.8,56.4,Low,Medium,83.6,59.5,13.36,13.22
F0334,Monaragala,2025-02-14,256,Rhizome Development,3.75,Chinese,Sandy Loam,6.4,24.9,38.5,27.4,66.4,19.6,16.0,20.8,Low,Low,143.5,52.6,16.33,15.64
F0719,Monaragala,2025-06-10,137,Vegetative,3.91,Nadun,Loam,5.5,30.4,23.7,21.9,77.8,22.4,31.8,37.1,Medium,Low,94.9,60.1,12.28,12.34
F0705,Monaragala,2025-08-03,155,Rhizome Initiation,3.1,Local,Clay Loam,5.9,43.0,80.1,24.6,87.7,19.6,32.8,63.6,Low,Medium,97.9,61.5,13.46,13.97
F0315,Kandy,2025-02-19,44,Early Vegetative,4.57,Local,Loam,6.7,45.4,98.9,20.9,86.0,14.3,39.4,114.4,Medium,Low,35.1,62.7,11.78,11.09
F0363,Galle,2025-04-14,204,Rhizome Initiation,1.29,Nadun,Sandy Loam,5.3,23.7,16.7,29.6,94.1,22.8,38.0,65.7,Low,Medium,115.0,53.5,14.36,14.39
F0473,Ratnapura,2025-11-12,14,Sprouting,1.64,Chinese,Sandy Loam,5.0,24.3,20.6,32.6,57.7,24.5,18.1,76.2,Low,Low,22.5,51.8,8.19,7.43
F0343,Kandy,2025-11-24,107,Vegetative,3.56,Local,Sandy Loam,6.1,23.5,24.8,26.0,85.3,23.8,17.8,118.2,Low,Low,69.9,54.9,13.1,13.4
F0284,Kurunegala,2025-11-07,107,Vegetative,0.74,Nadun,Clay Loam,5.2,33.4,37.6,24.8,87.1,17.3,35.9,84.3,Medium,Low,61.5,58.0,11.06,10.42
F0903,Nuwara Eliya,2025-06-06,75,Early Vegetative,3.26,Chinese,Clay Loam,5.9,41.1,82.8,33.7,59.0,17.1,13.6,84.0,Low,Low,53.2,64.7,13.59,12.89
F0390,Ratnapura,2025-08-07,160,Rhizome Initiation,2.79,Chinese,Clay Loam,6.3,46.9,111.9,28.4,72.6,20.9,27.9,115.9,Low,Medium,99.5,65.6,15.82,15.6
F0292,Badulla,2025-04-13,217,Rhizome Development,1.38,Local,Loam,5.2,35.2,42.9,25.1,77.0,19.6,28.0,87.4,Medium,Low,117.3,59.0,14.04,13.51
F0628,Ratnapura,2025-12-15,92,Vegetative,2.26,Local,Sandy Loam,6.8,44.3,114.6,21.3,68.6,24.6,25.0,58.1,Low,Low,71.6,67.2,13.1,13.04
F0393,Badulla,2025-03-05,132,Vegetative,1.05,Chinese,Clay Loam,5.5,25.0,17.0,23.0,63.9,22.0,3.6,115.4,Medium,Low,81.0,52.3,13.42,13.98
F0896,Kandy,2025-11-07,247,Rhizome Development,2.7,Chinese,Clay Loam,5.3,41.5,105.1,22.3,75.7,20.9,9.1,93.3,Low,Medium,132.5,68.5,18.32,17.54
F0203,Ratnapura,2025-08-22,135,Vegetative,3.3,Chinese,Loam,6.8,49.2,115.3,31.1,63.0,14.4,11.0,38.3,Low,Low,81.7,69.1,14.03,14.04
F0284,Kurunegala,2025-06-18,261,Maturity,1.39,Chinese,Loam,6.7,41.2,90.7,28.8,79.0,12.8,0.1,100.5,Low,Low,142.5,69.3,17.51,17.63
F0731,Galle,2025-07-16,255,Rhizome Development,2.74,Nadun,Clay Loam,6.2,43.5,95.7,27.3,73.7,24.2,0.2,48.4,Low,Medium,135.2,63.4,18.24,18.48
F0707,Kegalle,2025-04-25,197,Rhizome Initiation,2.87,Local,Clay Loam,6.7,32.3,56.4,24.1,87.2,19.6,25.8,65.9,Low,Medium,127.1,63.0,13.92,14.61
F0089,Monaragala,2025-11-06,33,Early Vegetative,1.99,Local,Loam,6.6,51.7,117.0,33.2,69.6,19.7,49.7,86.6,Low,Low,28.5,71.1,12.2,12.93
F0488,Kandy,2025-12-25,20,Sprouting,2.29,Chinese,Sandy Loam,5.1,40.6,95.2,32.2,55.7,12.9,13.6,31.3,Low,Medium,33.9,67.4,8.18,7.44
F0550,Ratnapura,2025-02-08,13,Sprouting,2.58,Local,Clay Loam,6.5,25.2,2.0,28.5,80.4,12.5,25.1,20.4,High,High,35.1,54.7,4.51,5.19
F0452,Kurunegala,2025-05-09,178,Rhizome Initiation,4.7,Chinese,Clay Loam,6.1,18.5,3.1,22.8,56.7,13.9,4.0,30.0,Low,Medium,94.8,48.2,12.83,12.39
F0174,Kurunegala,2025-12-15,57,Early Vegetative,3.95,Chinese,Clay Loam,6.1,39.3,96.1,22.9,81.1,15.3,26.8,51.9,Medium,High,49.1,63.7,9.85,9.42
F0612,Monaragala,2025-10-29,133,Vegetative,1.01,Chinese,Sandy Loam,5.6,29.2,41.6,26.8,90.7,23.3,33.1,81.9,High,Low,81.9,57.6,11.16,11.62
F0217,Matara,2025-07-19,127,Vegetative,3.88,Chinese,Clay Loam,6.0,44.7,94.2,20.6,91.4,23.1,15.7,24.4,Low,High,86.5,62.7,12.95,12.4
F0071,Galle,2025-01-21,94,Vegetative,4.27,Local,Loam,5.9,34.3,75.9,27.1,70.2,22.0,6.5,101.7,Low,Low,52.2,63.5,13.01,13.1
F0408,Ratnapura,2025-06-10,68,Early Vegetative,3.61,Local,Sandy Loam,6.6,29.6,30.5,22.6,69.0,19.7,16.7,32.4,Medium,Low,62.2,56.0,10.59,9.98
F0572,Kurunegala,2025-11-16,266,Maturity,3.47,Local,Sandy Loam,5.7,40.3,85.1,20.5,66.7,18.5,18.0,21.5,High,Low,160.5,69.0,15.31,15.45
F0446,Badulla,2025-08-18,55,Early Vegetative,3.26,Chinese,Loam,6.8,44.7,97.7,31.4,82.1,22.0,24.1,114.2,Low,Medium,42.1,67.8,12.3,12.81
F0679,Badulla,2025-11-22,142,Vegetative,1.66,Nadun,Loam,5.3,28.1,20.2,22.5,60.7,16.1,17.9,113.2,Low,Low,80.6,52.3,13.61,12.97
F0185,Ratnapura,2025-02-25,298,Maturity,2.64,Local,Loam,6.7,53.2,115.3,27.4,71.1,23.3,6.4,55.4,Medium,Low,170.3,68.3,17.28,17.4
F0926,Badulla,2025-01-26,68,Early Vegetative,1.54,Local,Clay Loam,5.7,24.5,22.5,29.7,85.1,18.6,33.9,24.7,Medium,Low,56.2,55.3,9.78,9.09
F0130,Badulla,2025-10-22,181,Rhizome Initiation,4.86,Chinese,Sandy Loam,5.1,50.0,117.2,31.3,82.8,16.2,27.2,109.4,Low,High,113.8,71.8,14.36,15.13
F0277,Galle,2025-03-16,223,Rhizome Development,3.4,Local,Sandy Loam,6.7,30.0,29.3,30.0,70.1,18.9,5.5,95.1,Low,Medium,135.1,54.1,15.74,16.43
F0347,Kandy,2025-07-21,142,Vegetative,2.4,Local,Sandy Loam,6.6,21.0,0.0,26.1,89.2,16.3,18.3,83.6,Low,Medium,82.7,54.5,13.14,13.19
F0101,Kegalle,2025-12-04,77,Early Vegetative,1.11,Chinese,Sandy Loam,6.3,27.6,26.1,21.6,85.1,19.1,22.0,110.8,Low,Low,63.0,60.7,12.69,13.43
F0457,Matale,2025-10-19,154,Rhizome Initiation,2.34,Chinese,Sandy Loam,6.7,45.2,101.7,25.9,69.3,12.5,21.9,51.6,Low,Low,95.2,64.7,14.03,14.59
F0008,Ratnapura,2025-07-17,42,Early Vegetative,2.72,Local,Loam,6.3,37.1,66.8,26.9,93.8,14.8,26.2,55.3,Low,Medium,31.0,65.0,10.34,10.44
F0865,Nuwara Eliya,2025-01-26,274,Maturity,1.85,Nadun,Sandy Loam,5.7,33.4,66.4,24.3,67.2,19.8,0.6,77.0,Medium,Low,143.0,55.6,18.36,17.77
F0528,Ratnapura,2025-03-15,203,Rhizome Initiation,3.89,Chinese,Clay Loam,5.3,46.2,95.3,28.0,55.6,14.6,26.9,50.3,Medium,Low,123.1,63.7,16.6,16.36
F0619,Ratnapura,2025-11-25,65,Early Vegetative,1.95,Local,Loam,5.9,39.2,58.0,26.8,68.6,16.1,44.4,84.1,Low,Low,52.7,61.7,12.98,13.7
F0157,Kurunegala,2025-05-21,199,Rhizome Initiation,3.31,Chinese,Sandy Loam,5.7,29.6,41.0,33.7,87.6,16.5,37.3,114.5,Low,Low,126.4,61.3,16.84,16.3
F0986,Ratnapura,2025-12-30,231,Rhizome Development,2.69,Local,Loam,6.4,48.8,113.2,33.2,85.1,14.5,43.0,49.6,Low,High,129.4,67.3,16.8,16.42
F0117,Kurunegala,2025-10-11,25,Sprouting,2.02,Nadun,Loam,6.1,39.3,58.3,21.2,82.3,19.1,30.6,111.7,High,Low,41.5,66.3,8.89,9.19
F0574,Kegalle,2025-09-19,300,Maturity,1.23,Nadun,Clay Loam,6.5,47.7,110.0,20.7,85.1,17.9,8.6,87.2,Low,Low,179.7,68.5,19.88,20.55
F0722,Kurunegala,2025-04-07,243,Rhizome Development,3.99,Local,Loam,6.7,36.7,73.0,32.9,94.5,17.9,20.7,101.0,Low,Low,136.0,59.5,17.0,17.64
F0001,Ratnapura,2025-04-18,221,Rhizome Development,3.99,Local,Clay Loam,6.0,43.0,88.3,20.2,77.3,19.7,23.9,52.4,Low,Medium,126.8,63.5,17.05,16.3
F0576,Matale,2025-07-29,293,Maturity,2.61,Nadun,Loam,6.1,43.5,90.4,22.0,83.1,18.3,35.3,102.5,Low,Low,152.6,67.6,19.46,19.77
F0693,Monaragala,2025-04-19,220,Rhizome Development,2.52,Nadun,Clay Loam,5.8,38.5,61.7,29.9,76.3,19.0,19.3,117.6,High,Medium,117.1,64.7,14.81,15.02
F0313,Kurunegala,2025-03-17,270,Maturity,4.08,Local,Clay Loam,6.6,43.1,86.5,28.3,63.4,15.4,4.9,91.5,Low,Medium,148.0,70.2,18.31,18.86
F0156,Kurunegala,2025-03-02,209,Rhizome Initiation,2.4,Local,Loam,6.4,46.2,98.1,21.2,90.1,19.0,19.9,27.7,Low,Low,120.2,72.1,16.08,16.53
F0805,Kegalle,2025-11-30,241,Rhizome Development,3.1,Local,Loam,5.6,40.2,63.2,26.3,78.6,13.3,21.4,93.8,Low,High,136.3,61.6,16.42,15.67
F0766,Kurunegala,2025-01-01,252,Rhizome Development,4.56,Nadun,Loam,5.3,20.2,12.7,30.7,92.6,16.8,39.3,69.2,Low,Low,152.6,57.1,16.03,15.8
F0479,Galle,2025-05-18,293,Maturity,0.72,Nadun,Sandy Loam,5.0,51.2,106.3,28.7,91.8,14.9,3.5,22.9,Low,Medium,153.6,70.7,18.14,18.03
F0271,Monaragala,2025-04-01,275,Maturity,3.64,Local,Clay Loam,5.1,37.4,80.7,25.8,85.9,15.1,6.0,101.5,Low,Low,156.9,63.6,17.99,18.54
F0339,Nuwara Eliya,2025-04-10,128,Vegetative,1.53,Local,Sandy Loam,5.6,48.6,115.9,30.2,66.8,15.6,16.4,22.5,Low,Medium,76.8,64.4,12.9,13.3
F0122,Matale,2025-09-12,218,Rhizome Development,0.64,Local,Clay Loam,6.5,30.1,22.6,27.7,81.7,15.0,5.8,85.6,Low,Low,138.5,62.1,16.96,17.5
F0409,Galle,2025-04-27,143,Vegetative,0.99,Chinese,Loam,5.9,33.7,43.4,33.1,65.6,16.9,40.1,98.4,Medium,Low,99.7,60.8,14.21,14.06
F0666,Ratnapura,2025-05-16,195,Rhizome Initiation,0.77,Nadun,Loam,5.2,49.7,110.7,31.0,86.1,24.4,42.7,36.8,Low,Low,125.4,73.6,16.53,16.09
F0012,Badulla,2025-11-22,82,Early Vegetative,2.75,Nadun,Loam,5.2,52.7,113.2,27.9,91.8,23.2,29.7,42.9,Low,Low,58.0,70.4,12.3,13.02
F0610,Matale,2025-04-28,170,Rhizome Initiation,2.13,Nadun,Loam,5.1,36.7,77.3,21.3,66.9,17.3,18.8,98.4,Low,Low,104.6,62.7,15.78,15.05
F0584,Nuwara Eliya,2025-08-19,213,Rhizome Development,3.12,Local,Sandy Loam,6.1,49.2,118.6,31.0,67.0,15.5,34.3,94.4,Low,Medium,129.0,73.1,17.45,17.9
F0751,Kurunegala,2025-03-22,176,Rhizome Initiation,2.37,Local,Loam,6.6,42.5,96.9,20.8,88.5,17.5,40.6,26.8,Medium,Low,103.7,68.1,15.13,15.26
F0770,Kurunegala,2025-10-10,146,Vegetative,4.3,Chinese,Clay Loam,6.0,46.9,117.8,20.8,75.6,22.9,32.0,68.4,Low,Low,87.6,70.0,15.46,15.63
F0043,Kandy,2025-01-04,97,Vegetative,1.92,Nadun,Sandy Loam,6.6,47.4,107.0,30.7,59.5,13.2,49.7,41.8,Low,High,63.5,68.4,11.47,12.09
F0571,Nuwara Eliya,2025-05-24,240,Rhizome Development,2.26,Nadun,Loam,6.5,40.7,81.6,25.9,88.6,18.4,3.8,53.0,High,Low,146.8,60.3,14.8,14.47
F0406,Kandy,2025-11-09,22,Sprouting,2.63,Chinese,Sandy Loam,5.4,26.8,29.7,27.1,68.4,18.3,32.9,76.3,Low,Low,30.0,57.3,10.08,10.58
F0888,Ratnapura,2025-10-04,163,Rhizome Initiation,4.29,Local,Loam,6.1,23.8,29.9,25.7,59.4,13.9,30.6,96.6,Medium,Low,86.6,55.1,14.71,14.07
F0682,Matale,2025-11-21,104,Vegetative,3.16,Local,Clay Loam,5.9,41.2,87.2,29.8,87.0,16.8,3.4,97.9,Medium,Low,63.4,67.7,12.57,11.82
F0263,Kurunegala,2025-04-16,288,Maturity,2.79,Chinese,Loam,5.1,44.7,106.0,28.9,72.8,15.4,36.6,39.6,High,Low,164.5,63.4,16.8,16.17
F0129,Matara,2025-06-17,58,Early Vegetative,4.31,Nadun,Loam,5.7,37.1,73.6,33.4,84.4,19.4,24.4,107.6,Medium,Low,52.4,66.0,12.47,12.9
F0437,Galle,2025-02-11,14,Sprouting,1.53,Chinese,Loam,6.2,29.2,48.5,21.2,88.5,15.8,36.6,84.1,Medium,Low,20.3,55.0,8.92,8.7
F0456,Matale,2025-03-05,105,Vegetative,2.82,Nadun,Loam,6.1,29.7,50.3,31.7,73.6,24.6,4.2,115.7,High,Medium,74.2,62.4,10.85,10.71
F0530,Galle,2025-11-20,17,Sprouting,0.8,Local,Loam,5.7,34.1,66.0,22.2,89.5,23.0,22.9,41.7,Low,Low,36.9,59.4,9.66,9.66
F0865,Galle,2025-10-07,25,Sprouting,3.07,Local,Loam,6.4,34.5,74.3,33.8,80.8,21.2,18.7,70.2,High,Low,29.8,56.9,8.33,8.45
F0080,Galle,2025-03-23,247,Rhizome Development,4.23,Chinese,Sandy Loam,5.5,31.7,37.8,20.9,89.4,15.2,47.8,34.3,Low,Medium,139.3,56.8,15.94,16.65
F0603,Badulla,2025-03-28,255,Rhizome Development,4.22,Local,Sandy Loam,5.8,40.2,79.3,32.5,89.4,22.8,34.6,92.4,Low,Low,142.9,67.5,19.56,19.76
F0263,Badulla,2025-05-03,153,Rhizome Initiation,2.02,Chinese,Clay Loam,6.5,27.5,45.5,31.7,93.1,14.6,28.3,113.6,Low,Low,88.9,56.1,14.53,15.3
F0018,Monaragala,2025-06-26,139,Vegetative,4.88,Chinese,Loam,6.8,18.8,4.5,31.5,66.1,14.4,13.0,40.6,Low,Medium,92.9,54.5,11.66,12.19
F0838,Kurunegala,2025-06-03,35,Early Vegetative,0.71,Chinese,Loam,6.0,34.5,51.2,22.7,82.7,24.2,17.2,88.7,High,Low,40.6,60.7,9.38,10.13
F0816,Monaragala,2025-04-06,296,Maturity,4.25,Nadun,Clay Loam,6.5,40.9,103.4,20.5,65.3,18.7,37.6,113.0,Low,Low,177.2,64.0,19.67,20.43
F0465,Ratnapura,2025-09-23,242,Rhizome Development,3.74,Nadun,Sandy Loam,6.5,27.3,43.3,21.7,86.1,16.3,46.7,53.0,Low,Low,134.3,57.1,17.4,17.85
F0188,Nuwara Eliya,2025-01-14,38,Early Vegetative,1.05,Nadun,Clay Loam,5.1,35.2,58.3,31.3,82.8,22.3,37.0,70.2,Low,Low,42.1,59.7,10.94,11.52
F0836,Galle,2025-12-21,156,Rhizome Initiation,2.41,Chinese,Loam,6.1,46.7,99.4,30.5,63.3,23.7,3.2,22.8,Low,Medium,91.5,68.7,14.22,13.55
F0784,Galle,2025-10-21,292,Maturity,3.19,Nadun,Clay Loam,5.7,26.4,15.2,24.7,94.9,18.0,41.0,48.6,Low,Low,160.2,60.4,16.83,16.15
F0282,Kegalle,2025-09-17,117,Vegetative,1.56,Chinese,Sandy Loam,5.1,29.3,22.9,23.0,84.6,24.1,38.4,34.6,Medium,Medium,66.9,57.4,9.31,8.57
F0812,Nuwara Eliya,2025-05-19,284,Maturity,4.43,Local,Clay Loam,6.3,29.4,33.0,22.9,72.5,21.3,43.3,22.1,Low,Low,166.1,59.5,16.74,15.97
F0592,Ratnapura,2025-02-15,116,Vegetative,3.18,Chinese,Sandy Loam,5.7,31.7,60.0,30.0,77.0,13.8,10.5,66.0,High,Low,67.6,57.5,12.13,12.79
F0830,Kurunegala,2025-03-12,33,Early Vegetative,4.29,Nadun,Clay Loam,6.7,48.8,115.0,21.5,71.6,12.7,2.9,119.7,Medium,Low,39.4,64.8,11.66,12.08
F0991,Kurunegala,2025-11-27,32,Early Vegetative,3.13,Nadun,Loam,5.3,29.5,41.9,30.1,70.3,24.7,48.6,105.9,Low,Medium,37.5,59.3,10.23,10.89
F0574,Matara,2025-06-12,229,Rhizome Development,4.03,Local,Loam,6.7,41.5,96.0,22.9,82.6,21.8,7.0,72.3,Low,Low,125.2,65.6,17.88,18.08
F0897,Badulla,2025-10-15,27,Sprouting,1.43,Nadun,Sandy Loam,6.6,48.0,100.2,23.3,77.4,15.7,49.5,37.4,Low,Medium,32.7,63.8,9.95,9.42
F0402,Kandy,2025-08-31,104,Vegetative,3.89,Nadun,Sandy Loam,6.7,35.7,81.5,29.3,77.4,17.4,26.4,42.0,Low,Low,70.1,57.1,13.05,12.63
F0984,Ratnapura,2025-04-08,236,Rhizome Development,4.01,Nadun,Clay Loam,6.2,29.8,24.6,25.6,63.1,22.0,48.3,119.2,Low,Low,131.4,56.8,18.11,18.73
F0870,Matara,2025-09-25,10,Sprouting,1.72,Local,Clay Loam,6.5,36.0,74.3,26.3,68.9,15.3,44.0,22.9,Low,High,30.0,61.7,7.54,7.63
F0890,Kegalle,2025-04-13,251,Rhizome Development,1.51,Local,Loam,6.7,34.5,45.8,27.1,63.1,12.6,34.4,83.5,Medium,Low,152.1,64.4,16.42,16.34
F0143,Kandy,2025-08-07,72,Early Vegetative,1.36,Nadun,Clay Loam,5.2,31.0,29.5,21.8,94.2,12.9,13.5,103.8,Medium,Low,61.1,54.6,10.4,10.33
F0066,Nuwara Eliya,2025-12-20,264,Maturity,2.35,Nadun,Clay Loam,5.4,45.2,84.4,30.4,83.6,23.7,24.4,66.5,Low,High,144.5,66.6,17.04,16.46
F0599,Kurunegala,2025-05-09,204,Rhizome Initiation,0.72,Nadun,Sandy Loam,6.5,35.4,44.8,20.5,83.8,17.5,46.7,96.9,Low,Low,114.6,65.6,16.98,17.25
F0017,Monaragala,2025-09-15,198,Rhizome Initiation,0.97,Local,Loam,5.8,29.5,33.5,23.6,58.7,19.6,5.5,50.8,Low,Medium,116.3,55.3,14.65,13.87
F0741,Matara,2025-06-18,260,Rhizome Development,4.36,Chinese,Loam,6.1,43.4,92.4,31.8,86.5,24.4,17.5,51.2,Low,Medium,140.9,65.4,17.43,18.05
F0212,Ratnapura,2025-02-02,61,Early Vegetative,1.75,Local,Loam,5.4,26.9,9.1,22.4,92.6,12.2,14.3,40.2,High,Low,51.3,56.8,7.97,7.49
F0629,Badulla,2025-06-14,70,Early Vegetative,3.7,Local,Sandy Loam,5.8,23.0,18.8,29.2,65.5,13.9,33.8,74.5,Medium,Medium,57.8,52.6,8.76,8.52
F0538,Kurunegala,2025-01-10,83,Early Vegetative,1.84,Local,Loam,6.6,45.1,97.3,27.2,94.6,24.0,24.9,73.8,Medium,Low,64.1,65.0,12.25,13.04
F0506,Galle,2025-12-21,169,Rhizome Initiation,4.85,Nadun,Clay Loam,6.6,24.1,9.0,32.6,68.0,16.5,26.1,88.4,Medium,Medium,102.0,54.1,11.68,11.9
F0023,Kurunegala,2025-05-14,284,Maturity,2.84,Chinese,Loam,6.4,35.0,76.2,24.2,90.8,21.0,1.9,21.2,Medium,Low,155.8,58.9,17.56,17.89
F0112,Matara,2025-01-15,81,Early Vegetative,1.4,Local,Loam,5.5,35.8,74.6,28.8,63.4,16.1,33.0,57.7,Low,Low,53.1,59.2,12.21,11.69
